herb_id,herb_name_sinhala,herb_name_english,herb_name_latin,family,synonyms,treatment_for,parts_used_in_treatment,description,dosage,contraindications,compounds,native_distribution,conservation_status,edible_parts,medical_properties,source,source_type
SLH-1072,Niduwala,Lanka fever-herb,Herbaphyton latifolia var. montana,Apocynaceae,Niduwala kola; lanka fever-herb,eye health; toothache; indigestion,tender shoots; rhizome,"Lanka fever-herb (Herbaphyton latifolia var. montana), known in Sinhala as Niduwala, is a medicinal plant of the family Apocynaceae recorded in Sri Lankan traditional medicine. It is traditionally used for eye health, toothache, indigestion. The tender shoots are the most commonly used part, usually prepared as a oil preparation. Reported properties include antibacterial, antidiabetic activity.",Oil preparation of tender shoots for external application. ,May enhance the effect of antidiabetic medication; monitor blood sugar,anthraquinones; tannins; sterols; ursolic acid; lupeol,Home gardens island-wide,Least Concern,young leaves,antibacterial; antidiabetic; galactagogue,Medicinal Plants Reference Database ,database
SLH-1073,Harariya,highland milkweed,Herbaphyton littoralis var. littoralis,Malvaceae,,sore throat; flatulence,flowers; rhizome; leaves,"highland milkweed (Herbaphyton littoralis var. littoralis), known in Sinhala as Harariya, is a medicinal plant of the family Malvaceae recorded in Sri Lankan traditional medicine. It is traditionally used for sore throat, flatulence. The flowers are the most commonly used part, usually prepared as a fresh juice. Reported properties include anthelmintic, galactagogue activity.",Fresh juice of flowers: 10-15 ml daily on an empty stomach. ,May enhance the effect of antidiabetic medication; monitor blood sugar; May interact with antihypertensive medication,essential oils; phenolic acids; gallic acid; stigmasterol,Northern dry zone,Least Concern,none recorded,anthelmintic; galactagogue; antioxidant; hypotensive,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-1074,Tihikanda,highland sorrel,Taprobanea serrata var. major,Solanaceae,Tihikanda kola; highland sorrel,asthma; loss of appetite; oral health,roots; whole plant; tender shoots,"highland sorrel (Taprobanea serrata var. major), known in Sinhala as Tihikanda, is a medicinal plant of the family Solanaceae recorded in Sri Lankan traditional medicine. It is traditionally used for asthma, loss of appetite, oral health. The roots are the most commonly used part, usually prepared as a decoction. Reported properties include antidiabetic, hypotensive activity.","Decoction of roots: 40 ml, twice daily after meals. ",Avoid during pregnancy unless advised by a qualified practitioner; Use with caution while breastfeeding,coumarins; iridoids; gallic acid; quercetin,Home gardens island-wide,Vulnerable,seeds (after processing),antidiabetic; hypotensive; antitussive; antibacterial,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-1075,Wamubatu,lowland figwort,Ceylonia tomentosa,Solanaceae,,asthma; inflammation; oral health,whole plant; fruits,"lowland figwort (Ceylonia tomentosa), known in Sinhala as Wamubatu, is a medicinal plant of the family Solanaceae recorded in Sri Lankan traditional medicine. It is traditionally used for asthma, inflammation, oral health. The whole plant are the most commonly used part, usually prepared as a fresh juice. Reported properties include nervine tonic, immunomodulatory activity.",Fresh juice of whole plant: 10-15 ml daily on an empty stomach. ,Avoid during pregnancy unless advised by a qualified practitioner; May interact with antihypertensive medication,alkaloids; phenolic acids; kaempferol,Dry zone,Least Concern,tender shoots,nervine tonic; immunomodulatory; antipyretic,Ethnobotanical Research Archive ,research_paper
SLH-1076,Pahaweli,sacred pepperbush,Ceylonia amara subsp. lankana,Apocynaceae,Pahaweli kola; sacred pepperbush,joint pain; urinary tract infections,leaves; tender shoots,"sacred pepperbush (Ceylonia amara subsp. lankana), known in Sinhala as Pahaweli, is a medicinal plant of the family Apocynaceae recorded in Sri Lankan traditional medicine. It is traditionally used for joint pain, urinary tract infections. The leaves are the most commonly used part, usually prepared as a oil preparation. Reported properties include galactagogue, diuretic activity.",Oil preparation of leaves for external application. ,May interact with antihypertensive medication,lignans; anthraquinones; stigmasterol,Sinharaja periphery,Common (cultivated),tender shoots,galactagogue; diuretic; expectorant; demulcent,Ethnobotanical Research Archive ,research_paper
SLH-1077,Tarawala,village creeper,Xanthozeylania montana var. minor,Myrtaceae,,anaemia; constipation; heart health,flowers,"village creeper (Xanthozeylania montana var. minor), known in Sinhala as Tarawala, is a medicinal plant of the family Myrtaceae recorded in Sri Lankan traditional medicine. It is traditionally used for anaemia, constipation, heart health. The flowers are the most commonly used part, usually prepared as a powder. Reported properties include expectorant, laxative activity.","Dried flowers powder: 2-3 g with warm water, once daily. ",May enhance the effect of antidiabetic medication; monitor blood sugar; May interact with antihypertensive medication; Avoid with anticoagulant medication,terpenoids; lignans; anthraquinones; apigenin,Intermediate zone,Common (cultivated),leaves (as mallum),expectorant; laxative,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-1078,Tihatana,coastal medick,Tropicophyton latifolia var. minor,Cucurbitaceae,,chest congestion; diabetes; gastritis,tender shoots; roots; tubers,"coastal medick (Tropicophyton latifolia var. minor), known in Sinhala as Tihatana, is a medicinal plant of the family Cucurbitaceae recorded in Sri Lankan traditional medicine. It is traditionally used for chest congestion, diabetes, gastritis. The tender shoots are the most commonly used part, usually prepared as a capsule. Reported properties include antidiabetic, carminative activity.",Standardised extract capsule: 250 mg once daily. ,Not recommended for children under 5 years; Avoid immediately before surgery,iridoids; lignans; lupeol,Central highlands,Least Concern,leaves (as mallum),antidiabetic; carminative,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-1079,Kekapala,monsoon tonic-vine,Monsoonia spinosa var. insularis,Poaceae,Kekapala kola; monsoon tonic-vine,immunity support; dysentery; insomnia,gum; whole plant,"monsoon tonic-vine (Monsoonia spinosa var. insularis), known in Sinhala as Kekapala, is a medicinal plant of the family Poaceae recorded in Sri Lankan traditional medicine. It is traditionally used for immunity support, dysentery, insomnia. The gum are the most commonly used part, usually prepared as a paste. Reported properties include expectorant, hepatoprotective activity.",External use only: apply paste of gum to the affected area 1-2 times daily. ,Use with caution while breastfeeding,iridoids; alkaloids; tannins; lupeol,Uva region,Data Deficient,fruits,expectorant; hepatoprotective,Medicinal Plants Reference Database ,database
SLH-1080,Rarimala,lowland bitterleaf,Sinhaflora officinarum var. montana,Verbenaceae,Rarimala kola; lowland bitterleaf,diabetes; eye health,flowers; roots,"lowland bitterleaf (Sinhaflora officinarum var. montana), known in Sinhala as Rarimala, is a medicinal plant of the family Verbenaceae recorded in Sri Lankan traditional medicine. It is traditionally used for diabetes, eye health. The flowers are the most commonly used part, usually prepared as a oil preparation. Reported properties include analgesic, hypotensive activity.",Oil preparation of flowers for external application. ,May cause gastric irritation in high doses,anthraquinones; saponins; lignans; chlorogenic acid; kaempferol,Wet zone lowlands,Near Threatened,tender shoots,analgesic; hypotensive; antifungal,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-1081,Ralakola,river bitterleaf,Viridilanka fragrans var. major,Zingiberaceae,,haemorrhoids; oral health; wound healing,seeds; fruits,"river bitterleaf (Viridilanka fragrans var. major), known in Sinhala as Ralakola, is a medicinal plant of the family Zingiberaceae recorded in Sri Lankan traditional medicine. It is traditionally used for haemorrhoids, oral health, wound healing. The seeds are the most commonly used part, usually prepared as a paste. Reported properties include expectorant, anthelmintic activity.",External use only: apply paste of seeds to the affected area 1-2 times daily. ,Avoid with anticoagulant medication,phenolic acids; coumarins; chlorogenic acid; vanillic acid,Central highlands,Vulnerable,none recorded,expectorant; anthelmintic,Medicinal Plants Reference Database ,database
SLH-1082,Lusiwila,sacred ginger-lily,Zeylandra spinosa var. minor,Poaceae,Lusiwila kola; sacred ginger-lily,cough; fever; indigestion,roots,"sacred ginger-lily (Zeylandra spinosa var. minor), known in Sinhala as Lusiwila, is a medicinal plant of the family Poaceae recorded in Sri Lankan traditional medicine. It is traditionally used for cough, fever, indigestion. The roots are the most commonly used part, usually prepared as a herbal tea. Reported properties include antispasmodic, nervine tonic activity.","Herbal tea: steep 2 tsp of dried roots in hot water, drink once daily. ",Use with caution in chronic kidney disease; May cause allergic skin reaction in sensitive individuals,saponins; coumarins; stigmasterol; apigenin,Sabaragamuwa region,Near Threatened,seeds (after processing),antispasmodic; nervine tonic; antipyretic; wound-healing,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-1083,Timugala,forest bitterleaf,Zeylandra sylvestris var. littoralis,Apocynaceae,,cough; lactation support; oral health,tubers; roots; seeds,"forest bitterleaf (Zeylandra sylvestris var. littoralis), known in Sinhala as Timugala, is a medicinal plant of the family Apocynaceae recorded in Sri Lankan traditional medicine. It is traditionally used for cough, lactation support, oral health. The tubers are the most commonly used part, usually prepared as a oil preparation. Reported properties include hypotensive, antifungal activity.",Oil preparation of tubers for external application. ,May interact with antihypertensive medication,saponins; phenolic acids; vanillic acid; stigmasterol,Coastal areas,Near Threatened,none recorded,hypotensive; antifungal,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-1084,Bohimula,coastal sorrel,Heliobotrys lankensis,Acanthaceae,,memory improvement; haemorrhoids; oral health,tubers; fruits; roots,"coastal sorrel (Heliobotrys lankensis), known in Sinhala as Bohimula, is a medicinal plant of the family Acanthaceae recorded in Sri Lankan traditional medicine. It is traditionally used for memory improvement, haemorrhoids, oral health. The tubers are the most commonly used part, usually prepared as a paste. Reported properties include galactagogue, astringent activity.",External use only: apply paste of tubers to the affected area 1-2 times daily. ,Use with caution in chronic kidney disease; May enhance the effect of antidiabetic medication; monitor blood sugar,terpenoids; essential oils; anthraquinones; lupeol; apigenin,Sinharaja periphery,Common (cultivated),seeds (after processing),galactagogue; astringent,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-1085,Bodutana,dry-zone bitterleaf,Xanthozeylania hirsuta var. major,Fabaceae,Bodutana kola; dry-zone bitterleaf,kidney health; eye health,roots; latex; whole plant,"dry-zone bitterleaf (Xanthozeylania hirsuta var. major), known in Sinhala as Bodutana, is a medicinal plant of the family Fabaceae recorded in Sri Lankan traditional medicine. It is traditionally used for kidney health, eye health. The roots are the most commonly used part, usually prepared as a powder. Reported properties include carminative, immunomodulatory activity.","Dried roots powder: 1-2 g with warm water, twice daily. ",May cause allergic skin reaction in sensitive individuals; Use with caution while breastfeeding,anthraquinones; iridoids; glycosides; beta-sitosterol,Coastal areas,Data Deficient,seeds (after processing),carminative; immunomodulatory; antitussive,Medicinal Plants Reference Database ,database
SLH-1086,Galagala,Ceylon betony,Lankandra montana var. insularis,Myrtaceae,,hypertension; ringworm,tubers; flowers; latex,"Ceylon betony (Lankandra montana var. insularis), known in Sinhala as Galagala, is a medicinal plant of the family Myrtaceae recorded in Sri Lankan traditional medicine. It is traditionally used for hypertension, ringworm. The tubers are the most commonly used part, usually prepared as a oil preparation. Reported properties include expectorant, antibacterial activity.",Oil preparation of tubers for external application. ,Avoid immediately before surgery,lignans; terpenoids; ursolic acid; gallic acid,Home gardens island-wide,Near Threatened,young leaves,expectorant; antibacterial; hepatoprotective,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-1087,Luwidena,wet-zone fever-herb,Insularia sylvestris var. insularis,Apocynaceae,Luwidena kola; wet-zone fever-herb,hypertension; kidney health,seeds; flowers,"wet-zone fever-herb (Insularia sylvestris var. insularis), known in Sinhala as Luwidena, is a medicinal plant of the family Apocynaceae recorded in Sri Lankan traditional medicine. It is traditionally used for hypertension, kidney health. The seeds are the most commonly used part, usually prepared as a porridge (kola kanda). Reported properties include wound-healing, antifungal activity.","Herbal porridge (kola kanda) prepared with fresh seeds, consumed as breakfast 2-3 times weekly. ",Avoid with anticoagulant medication; Avoid during pregnancy unless advised by a qualified practitioner; Not recommended for children under 5 years,anthraquinones; lignans; vanillic acid,Wet zone lowlands,Data Deficient,fruits,wound-healing; antifungal; antibacterial; laxative,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-1088,Gobamala,Lanka tonic-vine,Taprobanea cordata,Solanaceae,,diarrhoea; urinary stones; oral health,roots; tender shoots; tubers,"Lanka tonic-vine (Taprobanea cordata), known in Sinhala as Gobamala, is a medicinal plant of the family Solanaceae recorded in Sri Lankan traditional medicine. It is traditionally used for diarrhoea, urinary stones, oral health. The roots are the most commonly used part, usually prepared as a cold infusion. Reported properties include antioxidant, antitussive activity.",Cold infusion of roots soaked overnight: 100 ml in the morning. ,Avoid with anticoagulant medication; May interact with antihypertensive medication,glycosides; iridoids; terpenoids; catechin,Sinharaja periphery,Least Concern,none recorded,antioxidant; antitussive,Ethnobotanical Research Archive ,research_paper
SLH-1089,Muwimula,sacred figwort,Ophiranthus latifolia var. littoralis,Melastomataceae,,asthma; muscle pain,rhizome; roots; latex,"sacred figwort (Ophiranthus latifolia var. littoralis), known in Sinhala as Muwimula, is a medicinal plant of the family Melastomataceae recorded in Sri Lankan traditional medicine. It is traditionally used for asthma, muscle pain. The rhizome are the most commonly used part, usually prepared as a fresh juice. Reported properties include hepatoprotective, analgesic activity.",Fresh juice of rhizome: 15-30 ml daily on an empty stomach. ,May enhance the effect of antidiabetic medication; monitor blood sugar,tannins; alkaloids; ursolic acid,Knuckles range,Common (cultivated),tender shoots,hepatoprotective; analgesic; laxative,Medicinal Plants Reference Database ,database
SLH-1090,Ruhiwala,monsoon spurge,Serendiba latifolia var. insularis,Myrtaceae,Ruhiwala kola; monsoon spurge,oedema; memory improvement,fruits; whole plant; roots,"monsoon spurge (Serendiba latifolia var. insularis), known in Sinhala as Ruhiwala, is a medicinal plant of the family Myrtaceae recorded in Sri Lankan traditional medicine. It is traditionally used for oedema, memory improvement. The fruits are the most commonly used part, usually prepared as a capsule. Reported properties include expectorant, demulcent activity.",Standardised extract capsule: 250 mg twice daily. ,May interact with antihypertensive medication,alkaloids; iridoids; vanillic acid,Wet zone lowlands,Near Threatened,seeds (after processing),expectorant; demulcent; anthelmintic,Ethnobotanical Research Archive ,research_paper
SLH-1091,Sugagala,mountain sorrel,Viridilanka medica var. montana,Poaceae,Sugagala kola; mountain sorrel,indigestion; obesity; cold and flu; headache,leaves; tubers; rhizome,"mountain sorrel (Viridilanka medica var. montana), known in Sinhala as Sugagala, is a medicinal plant of the family Poaceae recorded in Sri Lankan traditional medicine. It is traditionally used for indigestion, obesity, cold and flu, headache. The leaves are the most commonly used part, usually prepared as a powder. Reported properties include anthelmintic, diuretic activity.","Dried leaves powder: 1-2 g with warm water, twice daily. ",Not recommended for children under 5 years; Avoid with anticoagulant medication,polysaccharides; anthraquinones; oleanolic acid; catechin,Home gardens island-wide,Vulnerable,seeds (after processing),anthelmintic; diuretic; galactagogue,Medicinal Plants Reference Database ,database
SLH-1092,Hadumula,lowland milkweed,Insularia officinarum var. littoralis,Verbenaceae,,migraine; sinusitis,tubers; flowers,"lowland milkweed (Insularia officinarum var. littoralis), known in Sinhala as Hadumula, is a medicinal plant of the family Verbenaceae recorded in Sri Lankan traditional medicine. It is traditionally used for migraine, sinusitis. The tubers are the most commonly used part, usually prepared as a porridge (kola kanda). Reported properties include antitussive, astringent activity.","Herbal porridge (kola kanda) prepared with fresh tubers, consumed as breakfast 2-3 times weekly. ",Avoid during pregnancy unless advised by a qualified practitioner,saponins; terpenoids; stigmasterol; rutin,Central highlands,Least Concern,tender shoots,antitussive; astringent; anti-inflammatory,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-1093,Managoda,wild ginger-lily,Sinhaflora officinarum var. major,Melastomataceae,,constipation; fever,gum; leaves; whole plant,"wild ginger-lily (Sinhaflora officinarum var. major), known in Sinhala as Managoda, is a medicinal plant of the family Melastomataceae recorded in Sri Lankan traditional medicine. It is traditionally used for constipation, fever. The gum are the most commonly used part, usually prepared as a paste. Reported properties include expectorant, hepatoprotective activity.",External use only: apply paste of gum to the affected area 1-2 times daily. ,Use with caution in chronic kidney disease,alkaloids; phenolic acids; coumarins; rutin; luteolin,Intermediate zone,Common (cultivated),tender shoots,expectorant; hepatoprotective,Medicinal Plants Reference Database ,database
SLH-1094,Gagukanda,wet-zone bitterleaf,Xanthozeylania pallida var. littoralis,Rubiaceae,Gagukanda kola; wet-zone bitterleaf,immunity support; liver disorders; oedema; gastritis,gum; seeds,"wet-zone bitterleaf (Xanthozeylania pallida var. littoralis), known in Sinhala as Gagukanda, is a medicinal plant of the family Rubiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for immunity support, liver disorders, oedema, gastritis. The gum are the most commonly used part, usually prepared as a powder. Reported properties include antipyretic, wound-healing activity.","Dried gum powder: 1-2 g with warm water, twice daily. ",Use with caution in liver disease; May cause gastric irritation in high doses; May enhance the effect of antidiabetic medication; monitor blood sugar,saponins; lignans; terpenoids; rutin,Knuckles range,Least Concern,young leaves,antipyretic; wound-healing,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-1095,Hemahira,highland nightflower,Vireophyllum aquatica,Annonaceae,,hair care; oral health; asthma; fever,gum; tubers; flowers,"highland nightflower (Vireophyllum aquatica), known in Sinhala as Hemahira, is a medicinal plant of the family Annonaceae recorded in Sri Lankan traditional medicine. It is traditionally used for hair care, oral health, asthma, fever. The gum are the most commonly used part, usually prepared as a fresh juice. Reported properties include antidiabetic, diuretic activity.",Fresh juice of gum: 10-15 ml daily on an empty stomach. ,May cause allergic skin reaction in sensitive individuals,terpenoids; saponins; beta-sitosterol,Northern dry zone,Vulnerable,seeds (after processing),antidiabetic; diuretic; antioxidant; immunomodulatory,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-1096,Suguwala,forest fever-herb,Sinhaflora serrata var. major,Verbenaceae,,burns; wound healing; jaundice; menstrual disorders,latex; roots; whole plant,"forest fever-herb (Sinhaflora serrata var. major), known in Sinhala as Suguwala, is a medicinal plant of the family Verbenaceae recorded in Sri Lankan traditional medicine. It is traditionally used for burns, wound healing, jaundice, menstrual disorders. The latex are the most commonly used part, usually prepared as a capsule. Reported properties include demulcent, expectorant activity.",Standardised extract capsule: 250 mg twice daily. ,Avoid immediately before surgery; May enhance the effect of antidiabetic medication; monitor blood sugar; Use with caution while breastfeeding,terpenoids; glycosides; anthraquinones; gallic acid; chlorogenic acid,Southern lowlands,Least Concern,tender shoots,demulcent; expectorant; hypotensive; anti-inflammatory,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-1097,Rukiwala,island betony,Zeylandra amara var. littoralis,Apocynaceae,Rukiwala kola; island betony,skin diseases; joint pain; insomnia; jaundice,stem; flowers; bark,"island betony (Zeylandra amara var. littoralis), known in Sinhala as Rukiwala, is a medicinal plant of the family Apocynaceae recorded in Sri Lankan traditional medicine. It is traditionally used for skin diseases, joint pain, insomnia, jaundice. The stem are the most commonly used part, usually prepared as a cold infusion. Reported properties include antidiabetic, nervine tonic activity.",Cold infusion of stem soaked overnight: 50 ml in the morning. ,Not recommended for children under 5 years; May interact with antihypertensive medication; May cause allergic skin reaction in sensitive individuals,essential oils; sterols; chlorogenic acid; luteolin,Southern lowlands,Common (cultivated),seeds (after processing),antidiabetic; nervine tonic; antitussive; antioxidant,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-1098,Kisiwala,river sorrel,Serendiba hirsuta,Poaceae,Kisiwala kola; river sorrel,burns; insomnia; urinary tract infections; wound healing,tender shoots; leaves; seeds,"river sorrel (Serendiba hirsuta), known in Sinhala as Kisiwala, is a medicinal plant of the family Poaceae recorded in Sri Lankan traditional medicine. It is traditionally used for burns, insomnia, urinary tract infections, wound healing. The tender shoots are the most commonly used part, usually prepared as a porridge (kola kanda). Reported properties include carminative, wound-healing activity.","Herbal porridge (kola kanda) prepared with fresh tender shoots, consumed as breakfast 2-3 times weekly. ",Prolonged high-dose use may cause loose stools; Use with caution in liver disease; Avoid immediately before surgery,sterols; alkaloids; terpenoids; beta-sitosterol; rutin,Intermediate zone,Vulnerable,seeds (after processing),carminative; wound-healing,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-1099,Pamuhira,forest tonic-vine,Insularia dulcis var. littoralis,Apocynaceae,Pamuhira kola; forest tonic-vine,ringworm; kidney health; indigestion; skin diseases,flowers; tubers; fruits,"forest tonic-vine (Insularia dulcis var. littoralis), known in Sinhala as Pamuhira, is a medicinal plant of the family Apocynaceae recorded in Sri Lankan traditional medicine. It is traditionally used for ringworm, kidney health, indigestion, skin diseases. The flowers are the most commonly used part, usually prepared as a paste. Reported properties include antidiabetic, hypotensive activity.",External use only: apply paste of flowers to the affected area 1-2 times daily. ,May cause allergic skin reaction in sensitive individuals; Avoid immediately before surgery,glycosides; iridoids; anthraquinones; lupeol; ellagic acid,Uva region,Near Threatened,young leaves,antidiabetic; hypotensive,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-1100,Keritana,island betony,Herbaphyton zeylanica var. littoralis,Apocynaceae,Keritana kola; island betony,boils; urinary stones; indigestion,gum; bark; fruits,"island betony (Herbaphyton zeylanica var. littoralis), known in Sinhala as Keritana, is a medicinal plant of the family Apocynaceae recorded in Sri Lankan traditional medicine. It is traditionally used for boils, urinary stones, indigestion. The gum are the most commonly used part, usually prepared as a capsule. Reported properties include immunomodulatory, antidiabetic activity.",Standardised extract capsule: 500 mg twice daily. ,May cause gastric irritation in high doses; Avoid during pregnancy unless advised by a qualified practitioner; Use with caution while breastfeeding,terpenoids; essential oils; saponins; lupeol,Sinharaja periphery,Least Concern,none recorded,immunomodulatory; antidiabetic; analgesic; carminative,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-1101,Kiwibatu,Ceylon spurge,Lankandra fragrans var. littoralis,Annonaceae,,kidney health; flatulence,latex; tender shoots; fruits,"Ceylon spurge (Lankandra fragrans var. littoralis), known in Sinhala as Kiwibatu, is a medicinal plant of the family Annonaceae recorded in Sri Lankan traditional medicine. It is traditionally used for kidney health, flatulence. The latex are the most commonly used part, usually prepared as a cold infusion. Reported properties include anti-inflammatory, carminative activity.",Cold infusion of latex soaked overnight: 100 ml in the morning. ,Use with caution in chronic kidney disease; Avoid immediately before surgery; Avoid with anticoagulant medication,iridoids; sterols; saponins; lupeol; chlorogenic acid,Home gardens island-wide,Least Concern,seeds (after processing),anti-inflammatory; carminative,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-1102,Kasiliya,wild milkweed,Insularia cordata var. minor,Myrtaceae,Kasiliya kola; wild milkweed,arthritis; anxiety,gum; whole plant,"wild milkweed (Insularia cordata var. minor), known in Sinhala as Kasiliya, is a medicinal plant of the family Myrtaceae recorded in Sri Lankan traditional medicine. It is traditionally used for arthritis, anxiety. The gum are the most commonly used part, usually prepared as a porridge (kola kanda). Reported properties include antitussive, anthelmintic activity.","Herbal porridge (kola kanda) prepared with fresh gum, consumed as breakfast 2-3 times weekly. ",Use with caution in liver disease; Avoid during pregnancy unless advised by a qualified practitioner,sterols; terpenoids; vanillic acid,Central highlands,Least Concern,none recorded,antitussive; anthelmintic,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-1103,Latudena,wet-zone healwort,Sinhaflora angustifolia var. insularis,Acanthaceae,Latudena kola; wet-zone healwort,heart health; inflammation,latex,"wet-zone healwort (Sinhaflora angustifolia var. insularis), known in Sinhala as Latudena, is a medicinal plant of the family Acanthaceae recorded in Sri Lankan traditional medicine. It is traditionally used for heart health, inflammation. The latex are the most commonly used part, usually prepared as a oil preparation. Reported properties include antioxidant, hepatoprotective activity.",Oil preparation of latex for external application. ,Use with caution in chronic kidney disease; May cause gastric irritation in high doses,alkaloids; flavonoids; coumarins; beta-sitosterol,Coastal areas,Least Concern,fruits,antioxidant; hepatoprotective; anthelmintic,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-1104,Basigoda,mountain sorrel,Zeylandra officinarum var. montana,Verbenaceae,,hair care; bronchitis; wound healing; memory improvement,leaves; tender shoots; flowers,"mountain sorrel (Zeylandra officinarum var. montana), known in Sinhala as Basigoda, is a medicinal plant of the family Verbenaceae recorded in Sri Lankan traditional medicine. It is traditionally used for hair care, bronchitis, wound healing, memory improvement. The leaves are the most commonly used part, usually prepared as a herbal tea. Reported properties include anthelmintic, galactagogue activity.","Herbal tea: steep 2 tsp of dried leaves in hot water, drink once daily. ",May cause gastric irritation in high doses; May cause allergic skin reaction in sensitive individuals; Avoid immediately before surgery,saponins; glycosides; vanillic acid,Home gardens island-wide,Least Concern,none recorded,anthelmintic; galactagogue; hepatoprotective,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-1105,Hebaliya,dry-zone bitterleaf,Xanthozeylania amara subsp. lankana,Asteraceae,Hebaliya kola; dry-zone bitterleaf,bronchitis; heart health,tender shoots; fruits,"dry-zone bitterleaf (Xanthozeylania amara subsp. lankana), known in Sinhala as Hebaliya, is a medicinal plant of the family Asteraceae recorded in Sri Lankan traditional medicine. It is traditionally used for bronchitis, heart health. The tender shoots are the most commonly used part, usually prepared as a porridge (kola kanda). Reported properties include hypotensive, antibacterial activity.","Herbal porridge (kola kanda) prepared with fresh tender shoots, consumed as breakfast 2-3 times weekly. ",Prolonged high-dose use may cause loose stools; Avoid immediately before surgery,coumarins; flavonoids; phenolic acids; apigenin,Home gardens island-wide,Common (cultivated),none recorded,hypotensive; antibacterial,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-1106,Kemuliya,village nightflower,Taprobanea rotundifolia,Poaceae,Kemuliya kola; village nightflower,arthritis; sore throat; migraine; joint pain,whole plant; roots; tender shoots,"village nightflower (Taprobanea rotundifolia), known in Sinhala as Kemuliya, is a medicinal plant of the family Poaceae recorded in Sri Lankan traditional medicine. It is traditionally used for arthritis, sore throat, migraine, joint pain. The whole plant are the most commonly used part, usually prepared as a decoction. Reported properties include anti-inflammatory, nervine tonic activity.","Decoction of whole plant: 40 ml, once daily after meals. ",Avoid immediately before surgery; Use with caution in liver disease; Avoid during pregnancy unless advised by a qualified practitioner,essential oils; saponins; stigmasterol,Central highlands,Least Concern,seeds (after processing),anti-inflammatory; nervine tonic; carminative; galactagogue,Medicinal Plants Reference Database ,database
SLH-1107,Kitawila,Ceylon medick,Tropicophyton aromatica var. major,Rubiaceae,,asthma; inflammation; gastritis; muscle pain,roots; whole plant; gum,"Ceylon medick (Tropicophyton aromatica var. major), known in Sinhala as Kitawila, is a medicinal plant of the family Rubiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for asthma, inflammation, gastritis, muscle pain. The roots are the most commonly used part, usually prepared as a oil preparation. Reported properties include hypotensive, astringent activity.",Oil preparation of roots for external application. ,Avoid immediately before surgery,terpenoids; coumarins; flavonoids; lupeol; kaempferol,Sinharaja periphery,Least Concern,tender shoots,hypotensive; astringent; expectorant; antipyretic,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-1108,Kesakola,village stoneroot,Petalodendron montana,Malvaceae,Kesakola kola; village stoneroot,eczema; nausea; skin diseases; indigestion,leaves,"village stoneroot (Petalodendron montana), known in Sinhala as Kesakola, is a medicinal plant of the family Malvaceae recorded in Sri Lankan traditional medicine. It is traditionally used for eczema, nausea, skin diseases, indigestion. The leaves are the most commonly used part, usually prepared as a fresh juice. Reported properties include astringent, antitussive activity.",Fresh juice of leaves: 15-30 ml daily on an empty stomach. ,May interact with antihypertensive medication,essential oils; anthraquinones; tannins; lupeol,Northern dry zone,Least Concern,none recorded,astringent; antitussive; anthelmintic,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-1109,Kamuriya,mountain creeper,Herbaphyton montana var. major,Apocynaceae,,fever; insomnia; diabetes,tender shoots; flowers,"mountain creeper (Herbaphyton montana var. major), known in Sinhala as Kamuriya, is a medicinal plant of the family Apocynaceae recorded in Sri Lankan traditional medicine. It is traditionally used for fever, insomnia, diabetes. The tender shoots are the most commonly used part, usually prepared as a herbal tea. Reported properties include hypotensive, anti-inflammatory activity.","Herbal tea: steep 2 tsp of dried tender shoots in hot water, drink twice daily. ",Avoid with anticoagulant medication; Use with caution while breastfeeding; Use with caution in chronic kidney disease,coumarins; anthraquinones; catechin,Southern lowlands,Common (cultivated),none recorded,hypotensive; anti-inflammatory; diuretic; antispasmodic,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
